Date,Time,Open,High,Low,Close,Volume
10/14/2022,4:00 PM,357.39,357.77,356.96,357.68,5680034
10/17/2022,9:33 AM,364.01,365.44,363.97,365.1825,2168409
10/17/2022,9:36 AM,365.16,365.95,365.01,365.82,1113303
10/17/2022,9:39 AM,365.82,366.57,365.81,366.37,1433705
10/17/2022,9:42 AM,366.362,367.285,366.26,367.26,1413325
10/17/2022,9:45 AM,367.24,367.38,366.55,366.69,1040573
10/17/2022,9:48 AM,366.6699,366.75,366.03,366.21,947812
10/17/2022,9:51 AM,366.21,367.21,366.11,367.065,922220
10/17/2022,9:54 AM,367.06,367.14,366.17,366.46,798316
10/17/2022,9:57 AM,366.47,366.7199,365.71,365.81,709803
10/17/2022,10:00 AM,365.81,366.08,365.52,365.87,768047
10/17/2022,10:03 AM,365.85,366.41,365.58,366.03,671655
10/17/2022,10:06 AM,366.03,366.51,365.93,366.25,616321
10/17/2022,10:09 AM,366.2401,366.66,365.91,366.6,909932
10/17/2022,10:12 AM,366.5901,367.02,366.14,366.9268,711630
10/17/2022,10:15 AM,366.9201,367.84,366.71,367.79,919025
10/17/2022,10:18 AM,367.8,367.9286,367.45,367.59,819857
10/17/2022,10:21 AM,367.6,367.88,367.42,367.76,572407
10/17/2022,10:24 AM,367.76,367.9799,366.93,367.06,658833
10/17/2022,10:27 AM,367.06,367.06,366.64,366.74,436735
10/17/2022,10:30 AM,366.73,366.77,366.5005,366.725,408488
10/17/2022,10:33 AM,366.72,367.07,366.37,366.915,604183
10/17/2022,10:36 AM,366.92,367.0886,366.175,366.87,625176
10/17/2022,10:39 AM,366.85,367.14,366.72,366.75,492423
10/17/2022,10:42 AM,366.75,367.01,366.58,366.9089,384726
10/17/2022,10:45 AM,366.9,366.97,366.6,366.71,265129
10/17/2022,10:48 AM,366.7,366.87,366.53,366.67,383630
10/17/2022,10:51 AM,366.6695,366.67,365.63,365.75,676725
10/17/2022,10:54 AM,365.75,365.82,365.15,365.3019,721714
10/17/2022,10:57 AM,365.28,365.56,365.02,365.0803,549079
10/17/2022,11:00 AM,365.09,365.53,364.8895,365.45,520590
10/17/2022,11:03 AM,365.45,366.04,365.43,365.9574,512919
10/17/2022,11:06 AM,365.95,366.09,365.705,365.7301,333915
10/17/2022,11:09 AM,365.7317,365.76,365.13,365.13,400408
10/17/2022,11:12 AM,365.12,365.7,364.98,365.52,360059
10/17/2022,11:15 AM,365.51,365.58,365.05,365.2,235311
10/17/2022,11:18 AM,365.17,365.18,364.6,364.95,525436
10/17/2022,11:21 AM,364.92,365.15,364.675,365.11,290163
10/17/2022,11:24 AM,365.12,365.64,364.85,365.5843,398640
10/17/2022,11:27 AM,365.6,365.94,365.58,365.72,433016
10/17/2022,11:30 AM,365.72,366.45,365.715,366.37,425891
10/17/2022,11:33 AM,366.38,366.46,366.0901,366.31,382436
10/17/2022,11:36 AM,366.31,366.63,366.16,366.48,472852
10/17/2022,11:39 AM,366.49,366.54,366.19,366.44,267675
10/17/2022,11:42 AM,366.44,367.03,366.38,366.97,452075
10/17/2022,11:45 AM,366.95,367.218,366.59,366.8,504007
10/17/2022,11:48 AM,366.8,366.84,366.6,366.74,319261
10/17/2022,11:51 AM,366.74,366.9699,366.68,366.84,323916
10/17/2022,11:54 AM,366.83,367.39,366.77,367.39,401754
10/17/2022,11:57 AM,367.39,367.48,366.945,366.98,440717
10/17/2022,12:00 PM,366.99,367.11,366.83,366.905,275531
10/17/2022,12:03 PM,366.9,367.21,366.9,367.01,400578
10/17/2022,12:06 PM,367.03,367.04,366.68,366.85,305763
10/17/2022,12:09 PM,366.84,367.55,366.7986,367.5,326270
10/17/2022,12:12 PM,367.515,367.6,366.84,366.865,258160
10/17/2022,12:15 PM,366.86,366.86,366.36,366.86,420878
10/17/2022,12:18 PM,366.855,366.93,366.56,366.62,193638
10/17/2022,12:21 PM,366.61,366.67,366.26,366.4299,207261
10/17/2022,12:24 PM,366.44,366.56,366.16,366.47,264200
10/17/2022,12:27 PM,366.465,366.83,366.41,366.73,322064
